G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63	G64	G65	G66	G67	G68	G69	G70	G71	G72	G73	G74	G75	G76	G77	G78	G79	G80	G81	G82	G83	G84	G85	G86	G87	G88	G89	G90	G91	G92	G93	G94	G95	G96	G97	G98	G99	G100
0.9430350	1.0000000	0.6899580	0.9998212	0.8840488	0.9999999	0.8489921	0.9530307	0.9999993	0.9085963	0.3971429	0.7287749	0.8007454	0.7732682	0.7719149	0.5873930	0.6083920	0.9065270	0.4871151	0.9999995	0.9563508	0.1549944	0.5584435	0.9853239	0.6191626	0.6586132	0.8869385	0.6968677	0.6975556	0.8354729	0.9989581	0.9998439	0.5200711	0.9683768	0.6532805	0.6217961	0.7068733	0.8909607	0.6337681	0.9985440	0.5430865	0.9673618	0.8786179	0.9196853	0.8378511	0.9690759	0.0178148	0.9548148	0.5766663	0.9907885	0.5884080	0.1982061	0.9759625	0.9225628	0.5214020	0.9689801	0.9995454	0.2943391	0.8880063	0.2705060	1.0000000	0.1696795	0.4778177	0.0724909	0.1296247	0.5840961	0.4400260	0.4192913	1.0000000	0.6200083	0.1370631	0.0361829	0.0063556	0.7800844	0.4881607	0.8888862	0.1821985	0.4197742	0.1311620	0.9074976	0.2173632	0.2140781	0.3886284	0.6528288	0.4328385	0.1537264	0.9425511	0.3891539	0.9972210	0.2342823	0.6042854	0.6851984	0.9984098	0.2714154	0.9999771	0.9014978	0.7332878	0.0678995	0.9958681	0.6193130
0.9430350	1.0000000	0.6899580	0.9998212	0.8840488	0.9999999	0.8489921	0.9530307	0.9999993	0.9085963	0.7940932	0.3644877	0.8007454	0.7732682	0.7719149	0.5873930	0.6083920	0.9065270	0.4871151	0.9999995	0.9563508	0.1549944	0.5584435	0.9853239	0.6191626	0.6586132	0.8869385	0.6968677	0.6975556	0.8354729	0.9989581	0.9998439	0.5200711	0.9683768	0.6532805	0.6217961	0.7068733	0.8909607	0.6337681	0.9985440	0.5430865	0.9673618	0.8786179	0.9196853	0.8378511	0.9690759	0.0178148	0.9548148	0.5766663	0.9907885	0.5884080	0.1982061	0.9759625	0.9225628	0.5214020	0.9689801	0.9995454	0.2943391	0.8880063	0.2705060	1.0000000	0.1696795	0.4778177	0.0724909	0.1296247	0.5840961	0.4400260	0.4192913	1.0000000	0.6200083	0.1370631	0.0361829	0.0063556	0.7800844	0.4881607	0.8888862	0.1821985	0.4197742	0.1311620	0.9074976	0.2173632	0.2140781	0.3886284	0.6528288	0.4328385	0.1537264	0.9425511	0.3891539	0.9972210	0.2342823	0.6042854	0.6851984	0.9984098	0.2714154	0.9999771	0.9014978	0.7332878	0.0678995	0.9958681	0.6193130
0.9430350	1.0000000	0.6899580	0.9998212	0.8840488	0.9999999	0.8489921	0.9530307	0.9999993	0.9085963	0.7940932	0.7287749	0.4005698	0.7732682	0.7719149	0.5873930	0.6083920	0.9065269	0.4871151	0.9999995	0.9563508	0.1549944	0.5584435	0.9853239	0.6191626	0.6586132	0.8869385	0.6968677	0.6975556	0.8354729	0.9989581	0.9998439	0.5200711	0.9683768	0.6532805	0.6217961	0.7068733	0.8909607	0.6337681	0.9985440	0.5430865	0.9673618	0.8786179	0.9196853	0.8378511	0.9690759	0.0178148	0.9548148	0.5766663	0.9907885	0.5884080	0.1982061	0.9759625	0.9225628	0.5214020	0.9689801	0.9995454	0.2943391	0.8880063	0.2705060	1.0000000	0.1696795	0.4778177	0.0724909	0.1296247	0.5840961	0.4400260	0.4192913	1.0000000	0.6200083	0.1370631	0.0361829	0.0063556	0.7800844	0.4881607	0.8888862	0.1821985	0.4197742	0.1311620	0.9074976	0.2173632	0.2140781	0.3886284	0.6528288	0.4328385	0.1537264	0.9425511	0.3891539	0.9972210	0.2342823	0.6042854	0.6851984	0.9984098	0.2714154	0.9999771	0.9014978	0.7332878	0.0678995	0.9958681	0.6193130
0.9430350	1.0000000	0.6899580	0.9998212	0.8840488	0.9999999	0.8489921	0.9530307	0.9999993	0.9085963	0.7940932	0.7287749	0.8007454	0.3867532	0.7719149	0.5873930	0.6083920	0.9065270	0.4871151	0.9999995	0.9563508	0.1549944	0.5584435	0.9853239	0.6191626	0.6586132	0.8869385	0.6968677	0.6975556	0.8354729	0.9989581	0.9998439	0.5200711	0.9683768	0.6532805	0.6217961	0.7068733	0.8909607	0.6337681	0.9985440	0.5430865	0.9673618	0.8786179	0.9196853	0.8378511	0.9690759	0.0178147	0.9548148	0.5766663	0.9907885	0.5884080	0.1982061	0.9759625	0.9225628	0.5214020	0.9689801	0.9995454	0.2943391	0.8880063	0.2705060	1.0000000	0.1696795	0.4778177	0.0724909	0.1296247	0.5840961	0.4400260	0.4192913	1.0000000	0.6200083	0.1370631	0.0361829	0.0063556	0.7800844	0.4881606	0.8888862	0.1821985	0.4197742	0.1311620	0.9074976	0.2173632	0.2140781	0.3886284	0.6528288	0.4328385	0.1537264	0.9425511	0.3891538	0.9972210	0.2342823	0.6042854	0.6851984	0.9984098	0.2714154	0.9999771	0.9014978	0.7332878	0.0678995	0.9958681	0.6193130
0.9430350	1.0000000	0.6899580	0.9998212	0.8840488	0.9999999	0.8489921	0.9530307	0.9999993	0.9085963	0.7940932	0.7287749	0.8007454	0.7732682	0.3861813	0.5873930	0.6083920	0.9065270	0.4871151	0.9999995	0.9563508	0.1549944	0.5584435	0.9853239	0.6191626	0.6586132	0.8869385	0.6968677	0.6975556	0.8354729	0.9989581	0.9998439	0.5200711	0.9683768	0.6532805	0.6217961	0.7068733	0.8909607	0.6337681	0.9985440	0.5430865	0.9673618	0.8786179	0.9196853	0.8378511	0.9690759	0.0178148	0.9548148	0.5766663	0.9907885	0.5884080	0.1982061	0.9759625	0.9225628	0.5214020	0.9689801	0.9995454	0.2943391	0.8880063	0.2705060	1.0000000	0.1696795	0.4778177	0.0724909	0.1296247	0.5840961	0.4400260	0.4192913	1.0000000	0.6200083	0.1370631	0.0361829	0.0063556	0.7800844	0.4881607	0.8888862	0.1821985	0.4197742	0.1311620	0.9074976	0.2173632	0.2140781	0.3886284	0.6528288	0.4328385	0.1537264	0.9425511	0.3891539	0.9972210	0.2342823	0.6042854	0.6851984	0.9984098	0.2714154	0.9999771	0.9014978	0.7332878	0.0678995	0.9958681	0.6193130
0.9430350	1.0000000	0.6899580	0.9998212	0.8840488	0.9999999	0.8489921	0.9530307	0.9999993	0.9085963	0.7940932	0.7287749	0.8007454	0.7732682	0.7719149	0.2938482	0.6083920	0.9065270	0.4871151	0.9999995	0.9563508	0.1549944	0.5584435	0.9853239	0.6191626	0.6586132	0.8869385	0.6968677	0.6975556	0.8354729	0.9989581	0.9998439	0.5200711	0.9683768	0.6532805	0.6217961	0.7068733	0.8909607	0.6337681	0.9985440	0.5430865	0.9673618	0.8786179	0.9196853	0.8378511	0.9690759	0.0178147	0.9548148	0.5766663	0.9907885	0.5884080	0.1982061	0.9759625	0.9225628	0.5214020	0.9689801	0.9995454	0.2943391	0.8880063	0.2705060	1.0000000	0.1696795	0.4778177	0.0724909	0.1296247	0.5840961	0.4400260	0.4192913	1.0000000	0.6200083	0.1370631	0.0361829	0.0063556	0.7800844	0.4881606	0.8888862	0.1821985	0.4197742	0.1311620	0.9074976	0.2173632	0.2140781	0.3886284	0.6528288	0.4328385	0.1537264	0.9425511	0.3891538	0.9972210	0.2342823	0.6042854	0.6851984	0.9984098	0.2714154	0.9999771	0.9014978	0.7332878	0.0678995	0.9958681	0.6193130
0.9430350	1.0000000	0.6899580	0.9998212	0.8840488	0.9999999	0.8489921	0.9530307	0.9999993	0.9085963	0.7940932	0.7287749	0.8007454	0.7732682	0.7719149	0.5873930	0.3043043	0.9065270	0.4871151	0.9999995	0.9563508	0.1549944	0.5584435	0.9853239	0.6191626	0.6586132	0.8869385	0.6968677	0.6975556	0.8354729	0.9989581	0.9998439	0.5200711	0.9683768	0.6532805	0.6217961	0.7068733	0.8909607	0.6337681	0.9985440	0.5430865	0.9673618	0.8786179	0.9196853	0.8378511	0.9690759	0.0178147	0.9548148	0.5766663	0.9907885	0.5884080	0.1982061	0.9759625	0.9225628	0.5214020	0.9689801	0.9995454	0.2943391	0.8880063	0.2705060	1.0000000	0.1696795	0.4778177	0.0724909	0.1296247	0.5840961	0.4400260	0.4192913	1.0000000	0.6200083	0.1370631	0.0361829	0.0063556	0.7800844	0.4881606	0.8888862	0.1821985	0.4197742	0.1311620	0.9074976	0.2173632	0.2140781	0.3886284	0.6528288	0.4328385	0.1537264	0.9425511	0.3891538	0.9972210	0.2342823	0.6042854	0.6851984	0.9984098	0.2714154	0.9999771	0.9014978	0.7332878	0.0678995	0.9958681	0.6193130
0.9430350	1.0000000	0.6899580	0.9998212	0.8840488	0.9999999	0.8489921	0.9530307	0.9999993	0.9085963	0.7940932	0.7287749	0.8007454	0.7732682	0.7719149	0.5873930	0.6083920	0.4534340	0.4871151	0.9999995	0.9563508	0.1549944	0.5584435	0.9853239	0.6191626	0.6586132	0.8869385	0.6968677	0.6975556	0.8354729	0.9989581	0.9998439	0.5200711	0.9683768	0.6532805	0.6217961	0.7068733	0.8909607	0.6337681	0.9985440	0.5430865	0.9673618	0.8786179	0.9196853	0.8378511	0.9690760	0.0178147	0.9548148	0.5766663	0.9907885	0.5884080	0.1982061	0.9759625	0.9225628	0.5214020	0.9689801	0.9995454	0.2943391	0.8880063	0.2705060	1.0000000	0.1696795	0.4778177	0.0724909	0.1296247	0.5840961	0.4400260	0.4192913	1.0000000	0.6200083	0.1370631	0.0361829	0.0063556	0.7800844	0.4881606	0.8888862	0.1821985	0.4197742	0.1311620	0.9074976	0.2173632	0.2140781	0.3886284	0.6528288	0.4328385	0.1537264	0.9425511	0.3891538	0.9972210	0.2342823	0.6042854	0.6851984	0.9984098	0.2714154	0.9999771	0.9014978	0.7332878	0.0678995	0.9958681	0.6193130
0.9430350	1.0000000	0.6899580	0.9998212	0.8840488	0.9999999	0.8489921	0.9530307	0.9999993	0.9085963	0.7940932	0.7287749	0.8007454	0.7732682	0.7719149	0.5873930	0.6083920	0.9065269	0.2436633	0.9999995	0.9563508	0.1549944	0.5584435	0.9853239	0.6191626	0.6586132	0.8869385	0.6968677	0.6975556	0.8354729	0.9989581	0.9998439	0.5200711	0.9683768	0.6532805	0.6217961	0.7068733	0.8909607	0.6337681	0.9985440	0.5430865	0.9673618	0.8786179	0.9196853	0.8378511	0.9690759	0.0178148	0.9548148	0.5766663	0.9907885	0.5884080	0.1982061	0.9759625	0.9225628	0.5214020	0.9689801	0.9995454	0.2943391	0.8880063	0.2705060	1.0000000	0.1696795	0.4778177	0.0724909	0.1296247	0.5840961	0.4400260	0.4192913	1.0000000	0.6200083	0.1370631	0.0361829	0.0063556	0.7800844	0.4881607	0.8888862	0.1821985	0.4197742	0.1311620	0.9074976	0.2173632	0.2140781	0.3886284	0.6528288	0.4328385	0.1537264	0.9425511	0.3891539	0.9972210	0.2342823	0.6042854	0.6851984	0.9984098	0.2714154	0.9999771	0.9014978	0.7332878	0.0678995	0.9958681	0.6193130
0.9430350	1.0000000	0.6899580	0.9998212	0.8840488	0.9999999	0.8489921	0.9530307	0.9999993	0.9085963	0.7940931	0.7287749	0.8007454	0.7732682	0.7719149	0.5873930	0.6083919	0.9065269	0.4871151	0.5001171	0.9563508	0.1549944	0.5584435	0.9853239	0.6191626	0.6586132	0.8869385	0.6968677	0.6975556	0.8354729	0.9989581	0.9998439	0.5200710	0.9683768	0.6532805	0.6217961	0.7068733	0.8909607	0.6337681	0.9985440	0.5430865	0.9673618	0.8786179	0.9196853	0.8378511	0.9690758	0.0178148	0.9548148	0.5766663	0.9907885	0.5884080	0.1982061	0.9759624	0.9225628	0.5214020	0.9689801	0.9995454	0.2943391	0.8880063	0.2705060	1.0000000	0.1696796	0.4778177	0.0724909	0.1296248	0.5840961	0.4400260	0.4192913	1.0000000	0.6200083	0.1370631	0.0361829	0.0063556	0.7800844	0.4881608	0.8888862	0.1821985	0.4197742	0.1311620	0.9074976	0.2173632	0.2140781	0.3886284	0.6528288	0.4328385	0.1537264	0.9425511	0.3891539	0.9972210	0.2342823	0.6042854	0.6851984	0.9984098	0.2714154	0.9999771	0.9014978	0.7332878	0.0678995	0.9958681	0.6193130
0.9430350	1.0000000	0.6899580	0.9998212	0.8840488	0.9999999	0.8489921	0.9530307	0.9999993	0.9085963	0.7940932	0.7287749	0.8007454	0.7732682	0.7719149	0.5873930	0.6083920	0.9065269	0.4871151	0.9999995	0.4783353	0.1549944	0.5584435	0.9853239	0.6191626	0.6586132	0.8869385	0.6968677	0.6975556	0.8354729	0.9989581	0.9998439	0.5200711	0.9683768	0.6532805	0.6217961	0.7068733	0.8909607	0.6337681	0.9985440	0.5430865	0.9673618	0.8786179	0.9196853	0.8378511	0.9690759	0.0178148	0.9548148	0.5766663	0.9907885	0.5884080	0.1982061	0.9759625	0.9225628	0.5214020	0.9689801	0.9995454	0.2943391	0.8880063	0.2705060	1.0000000	0.1696795	0.4778177	0.0724909	0.1296247	0.5840961	0.4400260	0.4192913	1.0000000	0.6200083	0.1370631	0.0361829	0.0063556	0.7800844	0.4881607	0.8888862	0.1821985	0.4197742	0.1311620	0.9074976	0.2173632	0.2140781	0.3886284	0.6528288	0.4328385	0.1537264	0.9425511	0.3891539	0.9972210	0.2342823	0.6042854	0.6851984	0.9984098	0.2714154	0.9999771	0.9014978	0.7332878	0.0678995	0.9958681	0.6193130
0.9430350	1.0000000	0.6899580	0.9998212	0.8840488	0.9999999	0.8489921	0.9530307	0.9999993	0.9085963	0.7940932	0.7287749	0.8007454	0.7732682	0.7719149	0.5873930	0.6083920	0.9065269	0.4871151	0.9999995	0.9563508	0.0775142	0.5584435	0.9853239	0.6191626	0.6586132	0.8869385	0.6968677	0.6975556	0.8354729	0.9989581	0.9998439	0.5200711	0.9683768	0.6532805	0.6217961	0.7068733	0.8909607	0.6337681	0.9985440	0.5430865	0.9673618	0.8786179	0.9196853	0.8378511	0.9690759	0.0178148	0.9548148	0.5766663	0.9907885	0.5884080	0.1982061	0.9759625	0.9225628	0.5214020	0.9689801	0.9995454	0.2943391	0.8880063	0.2705060	1.0000000	0.1696795	0.4778177	0.0724909	0.1296247	0.5840961	0.4400260	0.4192913	1.0000000	0.6200083	0.1370631	0.0361829	0.0063556	0.7800844	0.4881607	0.8888862	0.1821985	0.4197742	0.1311620	0.9074976	0.2173632	0.2140781	0.3886284	0.6528288	0.4328385	0.1537264	0.9425511	0.3891539	0.9972210	0.2342823	0.6042854	0.6851984	0.9984098	0.2714154	0.9999771	0.9014978	0.7332878	0.0678995	0.9958681	0.6193130
